episode,junction,action,greedy_count,random_count
29,JN_north,0,57,58
29,JN_north,1,76,52
29,JN_north,2,88,69
29,JS_south,0,85,46
29,JS_south,1,71,52
29,JS_south,2,78,68
29,JW_west,0,86,60
29,JW_west,1,43,66
29,JW_west,2,83,62
29,JE_east,0,113,52
29,JE_east,1,63,59
29,JE_east,2,71,42
30,J0_central,0,58,61
30,J0_central,1,86,53
30,J0_central,2,87,55
30,JN_north,0,71,58
30,JN_north,1,101,61
30,JN_north,2,49,60
30,JS_south,0,111,55
30,JS_south,1,107,48
30,JS_south,2,26,53
30,JW_west,0,86,64
30,JW_west,1,74,57
30,JW_west,2,75,44
30,JE_east,0,126,46
30,JE_east,1,55,58
30,JE_east,2,64,51
31,J0_central,0,65,43
31,J0_central,1,104,50
31,J0_central,2,74,64
31,JN_north,0,41,49
31,JN_north,1,93,47
31,JN_north,2,117,53
31,JS_south,0,96,45
31,JS_south,1,94,56
31,JS_south,2,58,51
31,JW_west,0,108,56
31,JW_west,1,75,44
31,JW_west,2,69,48
31,JE_east,0,154,65
31,JE_east,1,46,49
31,JE_east,2,38,48
32,J0_central,0,96,48
32,J0_central,1,100,52
32,J0_central,2,61,43
32,JN_north,0,44,49
32,JN_north,1,73,51
32,JN_north,2,128,55
32,JS_south,0,70,51
32,JS_south,1,125,47
32,JS_south,2,53,54
32,JW_west,0,107,47
32,JW_west,1,86,38
32,JW_west,2,71,51
32,JE_east,0,127,43
32,JE_east,1,70,57
32,JE_east,2,46,57
33,J0_central,0,104,59
33,J0_central,1,85,49
33,J0_central,2,58,45
33,JN_north,0,109,54
33,JN_north,1,102,50
33,JN_north,2,47,38
33,JS_south,0,64,52
33,JS_south,1,116,51
33,JS_south,2,69,48
33,JW_west,0,122,47
33,JW_west,1,72,42
33,JW_west,2,70,47
33,JE_east,0,143,54
33,JE_east,1,52,34
33,JE_east,2,72,45
34,J0_central,0,89,38
34,J0_central,1,112,53
34,J0_central,2,58,50
34,JN_north,0,69,56
