time,junction_id,queue_length,avg_waiting_time
37.0,cluster1646746616_6430722657_7263291410,0,0.0
37.0,cluster1156127277_5346644809,0,0.0
38.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,2.0
38.0,cluster1936499662_2629436073_621284871,7,7.0
38.0,cluster6616421101_6616421102,0,0.0
38.0,cluster1646746616_6430722657_7263291410,0,0.0
38.0,cluster1156127277_5346644809,0,0.0
39.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,3.0
39.0,cluster1936499662_2629436073_621284871,7,7.0
39.0,cluster6616421101_6616421102,0,0.0
39.0,cluster1646746616_6430722657_7263291410,0,0.0
39.0,cluster1156127277_5346644809,0,0.0
40.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,4.0
40.0,cluster1936499662_2629436073_621284871,7,7.64
40.0,cluster6616421101_6616421102,0,0.0
40.0,cluster1646746616_6430722657_7263291410,0,0.0
40.0,cluster1156127277_5346644809,0,0.0
41.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,5.0
41.0,cluster1936499662_2629436073_621284871,8,7.67
41.0,cluster6616421101_6616421102,0,0.0
41.0,cluster1646746616_6430722657_7263291410,1,0.5
41.0,cluster1156127277_5346644809,0,0.0
42.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,6.0
42.0,cluster1936499662_2629436073_621284871,9,8.42
42.0,cluster6616421101_6616421102,0,0.0
42.0,cluster1646746616_6430722657_7263291410,1,1.0
42.0,cluster1156127277_5346644809,0,0.0
43.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,7.0
43.0,cluster1936499662_2629436073_621284871,8,8.23
43.0,cluster6616421101_6616421102,0,0.0
43.0,cluster1646746616_6430722657_7263291410,1,1.5
43.0,cluster1156127277_5346644809,0,0.0
44.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,8.0
44.0,cluster1936499662_2629436073_621284871,9,8.92
44.0,cluster6616421101_6616421102,0,0.0
44.0,cluster1646746616_6430722657_7263291410,1,2.0
44.0,cluster1156127277_5346644809,0,0.0
45.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,9.0
45.0,cluster1936499662_2629436073_621284871,9,8.93
45.0,cluster6616421101_6616421102,0,0.0
45.0,cluster1646746616_6430722657_7263291410,1,2.5
45.0,cluster1156127277_5346644809,0,0.0
46.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,10.0
46.0,cluster1936499662_2629436073_621284871,8,6.75
46.0,cluster6616421101_6616421102,0,0.0
46.0,cluster1646746616_6430722657_7263291410,1,3.0
46.0,cluster1156127277_5346644809,0,0.0
