time,junction_id,queue_length,avg_waiting_time
329.9,cluster1156127277_5346644809,3,10.93
330.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,8.02
330.0,cluster1936499662_2629436073_621284871,11,1.9
330.0,cluster6616421101_6616421102,6,6.11
330.0,cluster1646746616_6430722657_7263291410,1,2.4
330.0,cluster1156127277_5346644809,3,11.03
330.1,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,8.11
330.1,cluster1936499662_2629436073_621284871,11,1.94
330.1,cluster6616421101_6616421102,6,6.18
330.1,cluster1646746616_6430722657_7263291410,1,2.45
330.1,cluster1156127277_5346644809,3,11.13
330.2,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,8.66
330.2,cluster1936499662_2629436073_621284871,11,1.91
330.2,cluster6616421101_6616421102,6,6.24
330.2,cluster1646746616_6430722657_7263291410,1,2.5
330.2,cluster1156127277_5346644809,3,11.23
330.3,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,8.75
330.3,cluster1936499662_2629436073_621284871,11,1.95
330.3,cluster6616421101_6616421102,6,6.31
330.3,cluster1646746616_6430722657_7263291410,1,2.55
330.3,cluster1156127277_5346644809,3,11.33
330.4,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,8.84
330.4,cluster1936499662_2629436073_621284871,12,1.99
330.4,cluster6616421101_6616421102,6,6.38
330.4,cluster1646746616_6430722657_7263291410,1,2.6
330.4,cluster1156127277_5346644809,3,11.43
330.5,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,8.94
330.5,cluster1936499662_2629436073_621284871,12,2.03
330.5,cluster6616421101_6616421102,6,6.44
330.5,cluster1646746616_6430722657_7263291410,1,2.65
330.5,cluster1156127277_5346644809,3,11.53
330.6,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.03
330.6,cluster1936499662_2629436073_621284871,12,2.06
330.6,cluster6616421101_6616421102,6,6.51
330.6,cluster1646746616_6430722657_7263291410,1,2.7
330.6,cluster1156127277_5346644809,3,11.63
330.7,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.13
330.7,cluster1936499662_2629436073_621284871,12,2.1
330.7,cluster6616421101_6616421102,6,6.58
330.7,cluster1646746616_6430722657_7263291410,1,2.75
330.7,cluster1156127277_5346644809,3,11.73
330.8,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.22
330.8,cluster1936499662_2629436073_621284871,12,2.14
